date,year,month,day,weekofyear,weekday,is_weekend,is_holiday,temperature,rain_mm,store_id,country,city,channel,latitude,longitude,sku_id,sku_name,category,subcategory,brand,units_sold,list_price,discount_pct,promo_flag,gross_sales,net_sales,stock_on_hand,stock_out_flag,lead_time_days,supplier_id,purchase_cost,margin_pct
2021-01-01,2021,1,1,53,4,0,1,8.44,1.24,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,81,6.24,0.0,0,505.44,505.44,290,0,7,S050,3.31,0.469
2021-01-02,2021,1,2,53,5,1,0,12.61,1.12,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,134,6.24,0.2,1,836.16,668.93,253,0,7,S006,3.46,0.245
2021-01-03,2021,1,3,53,6,1,0,12.02,2.69,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,257,6.24,0.15,1,1603.68,1363.13,212,0,10,S044,3.7,0.257
2021-01-04,2021,1,4,1,0,0,0,7.76,4.65,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,284,6.24,0.15,1,1772.16,1506.34,306,0,4,S044,4.36,0.151
2021-01-05,2021,1,5,1,1,0,0,11.16,1.77,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,92,6.24,0.0,0,574.08,574.08,242,0,7,S047,3.87,0.38
2021-01-06,2021,1,6,1,2,0,0,13.29,1.46,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,53,6.24,0.0,0,330.72,330.72,217,0,6,S002,4.62,0.26
2021-01-07,2021,1,7,1,3,0,0,6.19,11.58,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,252,6.24,0.15,1,1572.48,1336.61,286,0,8,S009,3.19,0.339
2021-01-08,2021,1,8,1,4,0,0,13.0,2.9,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,97,6.24,0.0,0,605.28,605.28,324,0,8,S022,4.34,0.305
2021-01-09,2021,1,9,1,5,1,0,9.56,0.26,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,98,6.24,0.0,0,611.52,611.52,432,0,6,S001,3.19,0.489
2021-01-10,2021,1,10,1,6,1,0,13.42,0.72,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,29,6.24,0.0,0,180.96,180.96,307,1,9,S026,3.23,0.483
2021-01-11,2021,1,11,2,0,0,0,9.59,5.45,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,89,6.24,0.0,0,555.36,555.36,276,0,4,S028,2.82,0.548
2021-01-12,2021,1,12,2,1,0,0,6.64,2.34,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,214,6.24,0.3,1,1335.36,934.75,345,0,9,S028,3.64,0.117
2021-01-13,2021,1,13,2,2,0,0,7.34,2.31,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,189,6.24,0.1,1,1179.36,1061.42,266,0,1,S057,3.37,0.36
2021-01-14,2021,1,14,2,3,0,0,12.53,4.76,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,144,6.24,0.0,0,898.56,898.56,421,0,6,S059,4.63,0.258
2021-01-15,2021,1,15,2,4,0,0,13.33,0.0,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,128,6.24,0.0,0,798.72,798.72,264,0,5,S048,3.81,0.389
2021-01-16,2021,1,16,2,5,1,0,10.01,7.62,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,152,6.24,0.0,0,948.48,948.48,113,0,7,S042,3.5,0.439
2021-01-17,2021,1,17,2,6,1,0,14.8,5.24,STORE0001,Germany,Berlin,Hypermarket,52.52586,13.39071,SKU0001,BrandA Soda,Beverages,Soda,BrandA,161,6.24,0.1,1,1004.64,904.18,280,0,5,S034,3.67,0.312
