model,horizon_day,n,actual_units,wape,mape,mape_coverage,mae,rmse,smape,bias
transformer,1,1004,60959.0,0.2679706618479969,0.5202095286137598,0.9970119521912351,16.27014300357773,25.305038962188128,0.2965033071811777,0.015000595090020004
transformer,2,1004,58327.0,0.2755418847413164,0.6339572480545635,0.9950199203187251,16.00750150528562,24.209354536931077,0.30759172955083774,0.05209486762526586
transformer,3,1004,57659.0,0.2815516242007749,0.5746867460543799,0.99800796812749,16.169307868319205,24.1973413493255,0.31488670528149226,0.03796001021424012
transformer,4,1004,61054.0,0.2710578690839805,0.6084133823414738,0.9970119521912351,16.48323420224437,26.978538764671764,0.2912673401166326,0.008977727408600781
transformer,5,1004,57747.0,0.25193644723498004,0.4186941901145298,1.0,14.490611572189636,20.96234257934762,0.2738123336681217,0.022059322318004868
transformer,6,1004,70354.0,0.2695450287327201,0.7071063891659336,0.99800796812749,18.88801887595796,28.6145508742053,0.2977136864725699,0.022719350544199983
transformer,7,1004,69487.0,0.2652119388355515,0.5057474484650988,0.9970119521912351,18.35536055165933,27.18895715148137,0.29106944882608526,0.014520569903893756
transformer,8,1004,61309.0,0.2677708863959264,0.4733879889485886,0.9950199203187251,16.351359834709015,24.914042456399173,0.2946642931132239,0.07349521618483303
transformer,9,1004,57397.0,0.2901235490687926,0.6073212783599241,0.99800796812749,16.585877834563238,24.974666548269383,0.31571209717759985,0.09428191034212771
transformer,10,1004,61247.0,0.2628849101541114,0.5832900279010185,0.9970119521912351,16.03676503208054,25.467538993346448,0.28548533428950457,0.008844534060395544
transformer,11,1004,58393.0,0.26152674940693055,0.48465399377986507,0.999003984063745,15.210489520038742,23.1761262272644,0.2809158690922676,0.04822186342691156
transformer,12,1004,61311.0,0.26846535137283717,0.5005827058467761,0.99800796812749,16.394301950219145,24.931646390148185,0.28797434989251425,0.031328891393841284
transformer,13,1004,71887.0,0.2609349957528915,0.5573567456076338,0.9970119521912351,18.683101633155488,28.50005894840431,0.27844220387871427,-0.016119659500029734
transformer,14,1004,70113.0,0.27417400814902604,0.4500544502211796,0.9970119521912351,19.146575929634125,29.229747417777908,0.2942251364742861,-0.007064952879994071
xgboost,1,1004,60959.0,0.2640448846027658,0.4929417965619636,0.9970119521912351,16.03178498057769,25.265086469988212,0.29191359402035094,-0.0012748950753785314
xgboost,2,1004,58327.0,0.2748242303135769,0.6156190030582321,0.9950199203187251,15.965809642928287,24.21732471444787,0.30385672000916825,0.03227768480292146
xgboost,3,1004,57659.0,0.2777746598622938,0.5469495730048428,0.99800796812749,15.952399514940238,23.996270199841483,0.31338717121025905,0.01776503246674414
xgboost,4,1004,61054.0,0.2711397051397124,0.5994637870778895,0.9970119521912351,16.488210714741037,27.261103134376228,0.28912050946249984,-0.01089351613981066
xgboost,5,1004,57747.0,0.25222614648380004,0.3989610661495182,1.0,14.507274184262949,21.184825856012058,0.27190198581956754,-0.009003434121253049
xgboost,6,1004,70354.0,0.2744455310771242,0.6958167838028145,0.99800796812749,19.231415232470116,28.715139196901074,0.30231034132622164,0.013431863976461896
xgboost,7,1004,69487.0,0.27047811250593634,0.5043570904364378,0.9970119521912351,18.719833270617528,27.349101242986286,0.29533378611501676,0.005041037254450471
xgboost,8,1004,61309.0,0.26627488928705406,0.4135900334362144,0.9950199203187251,16.26000715866534,25.60545864281391,0.28597301952155835,-0.022546575877929832
xgboost,9,1004,57397.0,0.2892900510810669,0.5385050833525405,0.99800796812749,16.53822814930279,25.002124444949793,0.3122745417028303,-0.0005644232468595957
xgboost,10,1004,61247.0,0.2705352082453018,0.5635934428642548,0.9970119521912351,16.5034560750996,25.97597478617867,0.2883963921286419,-0.029116661008702464
xgboost,11,1004,58393.0,0.2612555999349237,0.45854443305229653,0.999003984063745,15.194719369521913,23.120434674282926,0.28102661275024093,0.012338813368040685
xgboost,12,1004,61311.0,0.27145737585098917,0.47041376571222476,0.99800796812749,16.577015110358563,25.190442019271458,0.28947350753323603,-0.008855413716951279
xgboost,13,1004,71887.0,0.2655762389194152,0.5735460545107307,0.9970119521912351,19.01541741752988,29.260179093034267,0.2839407337954522,-0.027635272305145578
xgboost,14,1004,70113.0,0.27808849736282854,0.4439370418682237,0.9970119521912351,19.419939059362548,29.687298257898487,0.2990470569216802,-0.022577499642006477
