date,store_id,sku_id,prediction,model,family
2024-01-01,STORE0001,SKU0001,104.20539093017578,transformer,dl
2024-01-02,STORE0001,SKU0001,103.56144714355469,transformer,dl
2024-01-03,STORE0001,SKU0001,103.40231323242188,transformer,dl
2024-01-04,STORE0001,SKU0001,103.79386901855469,transformer,dl
2024-01-05,STORE0001,SKU0001,104.53746032714844,transformer,dl
2024-01-06,STORE0001,SKU0001,123.88809204101562,transformer,dl
2024-01-07,STORE0001,SKU0001,124.44097900390625,transformer,dl
2024-01-08,STORE0001,SKU0001,104.52963256835938,transformer,dl
2024-01-09,STORE0001,SKU0001,103.9773178100586,transformer,dl
2024-01-10,STORE0001,SKU0001,103.89868927001953,transformer,dl
2024-01-11,STORE0001,SKU0001,104.2294692993164,transformer,dl
2024-01-12,STORE0001,SKU0001,104.53802490234375,transformer,dl
2024-01-13,STORE0001,SKU0001,123.69725036621094,transformer,dl
2024-01-14,STORE0001,SKU0001,123.70491027832031,transformer,dl
2024-01-01,STORE0001,SKU0002,67.86512756347656,transformer,dl
2024-01-02,STORE0001,SKU0002,67.35548400878906,transformer,dl
2024-01-03,STORE0001,SKU0002,67.21665954589844,transformer,dl
2024-01-04,STORE0001,SKU0002,67.65465545654297,transformer,dl
2024-01-05,STORE0001,SKU0002,68.35538482666016,transformer,dl
2024-01-06,STORE0001,SKU0002,82.50099182128906,transformer,dl
2024-01-07,STORE0001,SKU0002,83.11536407470703,transformer,dl
2024-01-08,STORE0001,SKU0002,68.09285736083984,transformer,dl
2024-01-09,STORE0001,SKU0002,67.39482879638672,transformer,dl
2024-01-10,STORE0001,SKU0002,67.27767181396484,transformer,dl
2024-01-11,STORE0001,SKU0002,67.60789489746094,transformer,dl
2024-01-12,STORE0001,SKU0002,68.08265686035156,transformer,dl
2024-01-13,STORE0001,SKU0002,81.08082580566406,transformer,dl
2024-01-14,STORE0001,SKU0002,81.225830078125,transformer,dl
2024-01-01,STORE0001,SKU0004,96.26004028320312,transformer,dl
2024-01-02,STORE0001,SKU0004,95.15324401855469,transformer,dl
2024-01-03,STORE0001,SKU0004,94.99710845947266,transformer,dl
2024-01-04,STORE0001,SKU0004,95.67433166503906,transformer,dl
2024-01-05,STORE0001,SKU0004,96.45814514160156,transformer,dl
2024-01-06,STORE0001,SKU0004,114.65870666503906,transformer,dl
2024-01-07,STORE0001,SKU0004,115.13904571533203,transformer,dl
2024-01-08,STORE0001,SKU0004,96.82275390625,transformer,dl
2024-01-09,STORE0001,SKU0004,95.91925048828125,transformer,dl
2024-01-10,STORE0001,SKU0004,95.7921142578125,transformer,dl
2024-01-11,STORE0001,SKU0004,96.18978881835938,transformer,dl
2024-01-12,STORE0001,SKU0004,96.30174255371094,transformer,dl
2024-01-13,STORE0001,SKU0004,114.37991333007812,transformer,dl
2024-01-14,STORE0001,SKU0004,114.35189819335938,transformer,dl
2024-01-01,STORE0001,SKU0006,108.82786560058594,transformer,dl
2024-01-02,STORE0001,SKU0006,107.56729125976562,transformer,dl
2024-01-03,STORE0001,SKU0006,106.92732238769531,transformer,dl
2024-01-04,STORE0001,SKU0006,107.48970031738281,transformer,dl
2024-01-05,STORE0001,SKU0006,108.62445831298828,transformer,dl
2024-01-06,STORE0001,SKU0006,128.8301239013672,transformer,dl
2024-01-07,STORE0001,SKU0006,129.17564392089844,transformer,dl
2024-01-08,STORE0001,SKU0006,108.91952514648438,transformer,dl
2024-01-09,STORE0001,SKU0006,108.02555084228516,transformer,dl
2024-01-10,STORE0001,SKU0006,107.87211608886719,transformer,dl
2024-01-11,STORE0001,SKU0006,108.29747009277344,transformer,dl
2024-01-12,STORE0001,SKU0006,108.92865753173828,transformer,dl
2024-01-13,STORE0001,SKU0006,128.6132354736328,transformer,dl
2024-01-14,STORE0001,SKU0006,128.6923065185547,transformer,dl
2024-01-01,STORE0001,SKU0007,31.32762908935547,transformer,dl
2024-01-02,STORE0001,SKU0007,31.069400787353516,transformer,dl
2024-01-03,STORE0001,SKU0007,30.65237808227539,transformer,dl
2024-01-04,STORE0001,SKU0007,30.385244369506836,transformer,dl
2024-01-05,STORE0001,SKU0007,30.431222915649414,transformer,dl
2024-01-06,STORE0001,SKU0007,35.27189254760742,transformer,dl
2024-01-07,STORE0001,SKU0007,35.67388153076172,transformer,dl
2024-01-08,STORE0001,SKU0007,30.86979866027832,transformer,dl
2024-01-09,STORE0001,SKU0007,30.576862335205078,transformer,dl
2024-01-10,STORE0001,SKU0007,30.41993522644043,transformer,dl
2024-01-11,STORE0001,SKU0007,30.335376739501953,transformer,dl
2024-01-12,STORE0001,SKU0007,30.447397232055664,transformer,dl
2024-01-13,STORE0001,SKU0007,35.01216125488281,transformer,dl
2024-01-14,STORE0001,SKU0007,35.088497161865234,transformer,dl
2024-01-01,STORE0001,SKU0008,27.031517028808594,transformer,dl
2024-01-02,STORE0001,SKU0008,26.874000549316406,transformer,dl
2024-01-03,STORE0001,SKU0008,26.439979553222656,transformer,dl
2024-01-04,STORE0001,SKU0008,26.182605743408203,transformer,dl
2024-01-05,STORE0001,SKU0008,26.175304412841797,transformer,dl
2024-01-06,STORE0001,SKU0008,30.13475799560547,transformer,dl
2024-01-07,STORE0001,SKU0008,30.4240665435791,transformer,dl
2024-01-08,STORE0001,SKU0008,26.617897033691406,transformer,dl
2024-01-09,STORE0001,SKU0008,26.26616668701172,transformer,dl
2024-01-10,STORE0001,SKU0008,26.014163970947266,transformer,dl
2024-01-11,STORE0001,SKU0008,25.93035125732422,transformer,dl
2024-01-12,STORE0001,SKU0008,25.994953155517578,transformer,dl
2024-01-13,STORE0001,SKU0008,29.8026180267334,transformer,dl
2024-01-14,STORE0001,SKU0008,29.785181045532227,transformer,dl
2024-01-01,STORE0001,SKU0010,39.30092239379883,transformer,dl
2024-01-02,STORE0001,SKU0010,38.987857818603516,transformer,dl
2024-01-03,STORE0001,SKU0010,38.64736557006836,transformer,dl
2024-01-04,STORE0001,SKU0010,38.63679122924805,transformer,dl
2024-01-05,STORE0001,SKU0010,38.908363342285156,transformer,dl
2024-01-06,STORE0001,SKU0010,46.053794860839844,transformer,dl
2024-01-07,STORE0001,SKU0010,46.39070129394531,transformer,dl
2024-01-08,STORE0001,SKU0010,39.37825012207031,transformer,dl
2024-01-09,STORE0001,SKU0010,38.921897888183594,transformer,dl
2024-01-10,STORE0001,SKU0010,38.709068298339844,transformer,dl
2024-01-11,STORE0001,SKU0010,38.83274841308594,transformer,dl
2024-01-12,STORE0001,SKU0010,39.10945129394531,transformer,dl
2024-01-13,STORE0001,SKU0010,45.91462326049805,transformer,dl
2024-01-14,STORE0001,SKU0010,45.89797592163086,transformer,dl
2024-01-01,STORE0001,SKU0011,23.679424285888672,transformer,dl
2024-01-02,STORE0001,SKU0011,23.45897674560547,transformer,dl
2024-01-03,STORE0001,SKU0011,22.995311737060547,transformer,dl
2024-01-04,STORE0001,SKU0011,22.695140838623047,transformer,dl
2024-01-05,STORE0001,SKU0011,22.787254333496094,transformer,dl
2024-01-06,STORE0001,SKU0011,25.810863494873047,transformer,dl
2024-01-07,STORE0001,SKU0011,26.037906646728516,transformer,dl
2024-01-08,STORE0001,SKU0011,23.189720153808594,transformer,dl
2024-01-09,STORE0001,SKU0011,22.86440658569336,transformer,dl
2024-01-10,STORE0001,SKU0011,22.60037612915039,transformer,dl
2024-01-11,STORE0001,SKU0011,22.551044464111328,transformer,dl
2024-01-12,STORE0001,SKU0011,22.70006561279297,transformer,dl
2024-01-13,STORE0001,SKU0011,25.592693328857422,transformer,dl
2024-01-14,STORE0001,SKU0011,25.662792205810547,transformer,dl
2024-01-01,STORE0001,SKU0012,47.681861877441406,transformer,dl
2024-01-02,STORE0001,SKU0012,47.14698791503906,transformer,dl
2024-01-03,STORE0001,SKU0012,46.64923095703125,transformer,dl
2024-01-04,STORE0001,SKU0012,46.488006591796875,transformer,dl
2024-01-05,STORE0001,SKU0012,46.882789611816406,transformer,dl
2024-01-06,STORE0001,SKU0012,55.40219497680664,transformer,dl
2024-01-07,STORE0001,SKU0012,55.831390380859375,transformer,dl
2024-01-08,STORE0001,SKU0012,47.366634368896484,transformer,dl
2024-01-09,STORE0001,SKU0012,46.814453125,transformer,dl
2024-01-10,STORE0001,SKU0012,46.50529098510742,transformer,dl
2024-01-11,STORE0001,SKU0012,46.4991569519043,transformer,dl
2024-01-12,STORE0001,SKU0012,46.76779556274414,transformer,dl
2024-01-13,STORE0001,SKU0012,54.86851501464844,transformer,dl
2024-01-14,STORE0001,SKU0012,55.050048828125,transformer,dl
2024-01-01,STORE0001,SKU0014,60.759498596191406,transformer,dl
2024-01-02,STORE0001,SKU0014,60.260799407958984,transformer,dl
2024-01-03,STORE0001,SKU0014,59.67893981933594,transformer,dl
