model,store_id,sku_id,n,actual_units,wape,mape,mape_coverage,mae,rmse,smape,bias
catboost,STORE0011,SKU0023,14,964.0,0.5573850998360644,1.2075748900468057,1.0,38.37994544585472,50.248827257372476,0.5150774506709666,0.36960791163695217
catboost,STORE0005,SKU0045,14,985.0,0.5344078720231554,0.8400900183557723,1.0,37.599410995914866,47.91668018606671,0.4673428379881977,0.4438852067730155
catboost,STORE0009,SKU0069,14,1072.0,0.5320944169828609,0.6772619028949204,1.0,40.743229643259056,52.877487065533806,0.44712551590199745,0.29764513091506845
catboost,STORE0005,SKU0013,14,1453.0,0.5268017559321501,2.356509932587468,1.0,54.67449652638671,76.89221333240586,0.5102079753442721,0.34245547097054163
catboost,STORE0002,SKU0063,14,529.0,0.5158821577267002,0.903146069438087,1.0,19.492975816958886,24.896826860662934,0.45310286738205124,0.26006149209795004
catboost,STORE0010,SKU0098,14,456.0,0.5141763387272272,2.021361815460167,1.0,16.747457889972544,20.661695642748597,0.5903906993777053,0.28127499111740983
catboost,STORE0001,SKU0019,14,244.0,0.5093514602529374,0.561077944745434,0.9285714285714286,8.877268307265481,11.37379285844727,0.5153331809200936,0.26122040775355243
catboost,STORE0013,SKU0002,14,399.0,0.5090655662761162,1.1220537922544238,1.0,14.508368638869312,17.315828777685294,0.4949994663837912,0.3457650956188462
catboost,STORE0006,SKU0095,14,373.0,0.5070367581146784,1.378525111485904,1.0,13.508907912626787,16.192430291494677,0.5104487988468444,0.32078033725067107
catboost,STORE0008,SKU0043,14,765.0,0.4960337523283941,4.244383611405243,1.0,27.10470146651582,34.97853740136817,0.5506187844778935,0.15051461080938763
catboost,STORE0013,SKU0071,14,195.0,0.49540396110611706,0.8178348633836137,1.0,6.900269458263773,7.640668820722737,0.49168135616871844,0.2198411579854087
catboost,STORE0006,SKU0063,14,749.0,0.4881712652091756,0.8574859306543269,1.0,26.117162688690893,33.78910108068547,0.4545618260008304,0.19411619702684996
catboost,STORE0007,SKU0084,14,196.0,0.47530327104305886,1.2744579947436494,1.0,6.654245794602824,8.74497577280047,0.45889454653368916,0.38379745469813337
catboost,STORE0002,SKU0086,14,104.0,0.4718075253618921,0.7618235734962274,1.0,3.504855902688341,4.225925667972889,0.47432891382764747,0.055186201907153315
catboost,STORE0008,SKU0029,14,460.0,0.467366840050616,1.3310660189524486,1.0,15.356339030234526,19.54403353351957,0.4834193054781067,0.34917486646959495
catboost,STORE0005,SKU0020,14,625.0,0.46571169080846164,0.7432540351889331,1.0,20.79070048252061,25.997480762525388,0.4280611818709165,0.4050899194416645
catboost,STORE0007,SKU0080,14,717.0,0.46253803714228037,0.6719249133614109,0.9285714285714286,23.688555187929644,30.38622925293344,0.5139366021525682,0.22516239208080432
catboost,STORE0010,SKU0076,14,354.0,0.4612284078893168,1.7946176400897529,1.0,11.662489742344153,14.478341037156307,0.4771810756328745,0.19159383696993884
catboost,STORE0002,SKU0066,14,253.0,0.457298151819421,2.6410602251767523,1.0,8.264030886450966,10.638860203727148,0.5043246958244684,0.3569681010632119
catboost,STORE0011,SKU0098,14,576.0,0.4554257024766546,1.743491758477692,1.0,18.73751461618236,23.088986499908312,0.4906686168237552,0.04193554326858975
catboost,STORE0007,SKU0049,14,502.0,0.4544641633278802,0.630741696298804,1.0,16.295786427899703,17.612233557433616,0.4464919680678078,0.2032911126803695
catboost,STORE0008,SKU0047,14,1012.0,0.4517525371403716,0.5911313252124311,1.0,32.65525482757543,36.743037273222505,0.41287834818234004,0.3518628302213671
catboost,STORE0002,SKU0016,14,271.0,0.4499376838023616,2.022502092164611,1.0,8.709508022174285,10.877590809309487,0.46004847491104844,0.19487121918112796
catboost,STORE0007,SKU0101,14,165.0,0.4494282940126622,2.023913210362099,1.0,5.296833465149233,7.408900274133434,0.5194612014890437,0.27788536579183254
catboost,STORE0003,SKU0060,14,634.0,0.4468256783057861,0.7726832082378007,1.0,20.234820003276315,23.575629917921926,0.48170793632680936,0.05117286867152208
catboost,STORE0011,SKU0055,14,192.0,0.44597005820855956,0.6506823766693405,0.8571428571428571,6.116160798288817,8.148656832054177,0.5565252709047298,0.20125163493338624
catboost,STORE0013,SKU0025,14,206.0,0.4404820505123202,0.789034802132611,1.0,6.481378743252711,7.96266328479959,0.4271620154578433,0.32757026720408133
catboost,STORE0006,SKU0034,14,2432.0,0.4399780370949146,0.9759087738172717,1.0,76.4304704439166,94.32105296950587,0.4476935322704576,0.15024643533685017
catboost,STORE0003,SKU0031,14,713.0,0.43932053452778935,0.5934221963130736,1.0,22.3739672227367,28.561319432706867,0.41943717578125955,0.1300756668225599
catboost,STORE0001,SKU0092,14,1319.0,0.43748114657541165,0.6922836803650687,0.9285714285714286,41.21697373806914,50.49248815209936,0.5069617711469159,0.07450674499908173
catboost,STORE0012,SKU0091,14,223.0,0.43584826842268776,0.6353216712240463,1.0,6.942440275589955,8.462344472249745,0.4265594055557411,0.33313676760838684
catboost,STORE0002,SKU0023,14,801.0,0.4330750209167527,0.6456088517027051,1.0,24.77807798245135,32.780930342884,0.41516732478927715,0.11988222310646945
catboost,STORE0007,SKU0097,14,650.0,0.430584796010253,4.760157987772392,1.0,19.99143695761889,26.849601646681933,0.4887246306563822,0.06847967300695816
catboost,STORE0011,SKU0039,14,264.0,0.42609081764875567,1.7289001450684405,1.0,8.034855418519394,9.041143460373371,0.48534872785210587,0.056578856350352924
catboost,STORE0005,SKU0073,14,127.0,0.4259868419115152,0.45659305116186943,0.9285714285714286,3.864309208768745,4.981656320913778,0.4557847531914624,0.22614102535765515
catboost,STORE0002,SKU0015,14,102.0,0.42582065670161,1.1692629762962004,1.0,3.1024076416831585,3.9257163485542703,0.4500619648045577,0.29795097887935934
catboost,STORE0009,SKU0016,14,347.0,0.42567300957698173,1.347235955133774,1.0,10.55060959451519,13.978527659578173,0.45008035589590994,0.1356485400256571
catboost,STORE0008,SKU0059,14,364.0,0.425348759182413,0.40884884374033353,0.9285714285714286,11.059067738742739,12.70420130717798,0.47355948484780913,0.10548104339131921
catboost,STORE0009,SKU0032,14,997.0,0.4236273168091625,1.9405110800057852,1.0,30.16831677562393,46.57098985968241,0.4885618963126212,0.10874156795551067
catboost,STORE0005,SKU0084,14,296.0,0.4228536899242231,1.1705428532191247,1.0,8.94033515839786,11.460270284850674,0.459184034235096,0.27456927510659923
catboost,STORE0007,SKU0043,14,512.0,0.41908799353056037,0.7802739766277927,1.0,15.326646620546208,21.124659165167436,0.40047298632763084,0.2665577477868386
catboost,STORE0009,SKU0057,14,986.0,0.41609005995434095,1.0135876916027395,0.9285714285714286,29.30462850821287,38.23076268153849,0.4795962873843814,0.2527120686348029
catboost,STORE0001,SKU0020,14,665.0,0.41526205491203194,0.935907031681831,1.0,19.724947608321518,23.539835570701655,0.4384470535704676,0.15653099861821573
catboost,STORE0002,SKU0043,14,546.0,0.4132662891106864,0.5347572843713314,1.0,16.11738527531677,19.36583799226016,0.3857501824763007,0.3824074532147527
catboost,STORE0001,SKU0024,14,665.0,0.41314497237696146,1.663737451957067,1.0,19.624386187905667,24.648759905521068,0.4648529417400083,0.1517675127463435
catboost,STORE0002,SKU0031,14,646.0,0.41179985323906976,1.3650470244653616,1.0,19.001621799459933,23.603755827757194,0.4703229445097711,0.2588602104121839
catboost,STORE0005,SKU0019,14,248.0,0.41142499244046277,1.0771045721632713,1.0,7.2880998660881975,10.28170936479809,0.4295508817494477,0.26085284959492705
catboost,STORE0004,SKU0051,14,970.0,0.4111190767850363,1.4466763352523888,1.0,28.484678891534656,38.29504799441862,0.4728469539971606,0.15713599764462338
catboost,STORE0006,SKU0081,14,946.0,0.4077981123417672,0.5903110931012632,1.0,27.555501019665126,33.44290931742738,0.41641066313385183,0.07848381642985909
catboost,STORE0006,SKU0017,14,1393.0,0.40771594391538324,1.726505327379162,1.0,40.56773641958063,50.35495873248856,0.45740981665533154,0.20039738336123447
catboost,STORE0010,SKU0100,14,1076.0,0.40756234170198813,0.6998440055347978,1.0,31.324077119381375,37.62175288813763,0.44472894669202245,0.019964963807021573
