model,method,feature,importance,importance_pct,wape_after,baseline_wape,wape_increase
lightgbm,native gain,demand_roll_mean_28,41116327.19648123,70.28395588338832,,,
lightgbm,native gain,demand_roll_mean_14,7748835.283199549,13.245803658227743,,,
lightgbm,native gain,demand_roll_mean_7,2471823.913331032,4.225318133253167,,,
lightgbm,native gain,promo_flag,1840665.4833893776,3.146420423507238,,,
lightgbm,native gain,sku_demand_mean_lag_1,792667.2066788673,1.35497965852344,,,
lightgbm,native gain,weekday,655721.4440340996,1.1208855505028785,,,
lightgbm,native gain,demand_roll_max_28,614784.5183993578,1.0509082623670847,,,
lightgbm,native gain,discount_pct_mean_28,497155.2429026365,0.8498336194375474,,,
lightgbm,native gain,demand_roll_max_14,491063.7489414215,0.8394208631913961,,,
lightgbm,native gain,promo_rate_28,356022.02871751785,0.6085815116783556,,,
xgboost,native gain,demand_roll_mean_28,2282065.25,29.699558558962803,,,
xgboost,native gain,promo_flag,1919427.875,24.980074769232843,,,
xgboost,native gain,demand_roll_mean_14,1339191.75,17.428688246668177,,,
xgboost,native gain,is_weekend,271476.46875,3.533085340579574,,,
xgboost,native gain,demand_roll_mean_7,258776.84375,3.36780818368655,,,
xgboost,native gain,demand_roll_max_14,228399.515625,2.9724675002800325,,,
xgboost,native gain,weekday,189003.265625,2.459751558490665,,,
xgboost,native gain,demand_roll_std_28,82352.3359375,1.0717607761842736,,,
xgboost,native gain,promo_rate_28,76233.6875,0.992130643973445,,,
xgboost,native gain,discount_pct_mean_28,65560.4453125,0.8532255090910622,,,
catboost,native gain,demand_roll_mean_28,35.01298571010362,35.01298571010363,,,
catboost,native gain,promo_flag,34.186175788795076,34.18617578879508,,,
catboost,native gain,demand_roll_mean_14,7.310921121618822,7.310921121618825,,,
catboost,native gain,sku_demand_mean_lag_1,3.3810033229459258,3.3810033229459266,,,
catboost,native gain,weekday,2.43238056984242,2.4323805698424206,,,
catboost,native gain,dow_sin,2.1084772356090475,2.108477235609048,,,
catboost,native gain,discount_pct_mean_28,1.9358372755925592,1.9358372755925597,,,
catboost,native gain,promo_rate_28,1.8808853977698878,1.8808853977698885,,,
catboost,native gain,is_weekend,1.6411825354230534,1.6411825354230538,,,
catboost,native gain,demand_roll_mean_7,1.0830278343587034,1.0830278343587036,,,
lstm,permutation on validation WAPE,sku_id (static),,46.14415344847144,0.4492750960258172,0.26599648783931307,0.18327860818650415
lstm,permutation on validation WAPE,promo_flag (known future),,17.231817049653486,0.33443903601416924,0.26599648783931307,0.06844254817485618
lstm,permutation on validation WAPE,demand_target (past window),,13.083535090011974,0.31796259670149907,0.26599648783931307,0.051966108862186
lstm,permutation on validation WAPE,subcategory (static),,7.991380416946484,0.29773721707259265,0.26599648783931307,0.031740729233279585
lstm,permutation on validation WAPE,channel (static),,7.811426401690099,0.2970224630032479,0.26599648783931307,0.03102597516393485
lstm,permutation on validation WAPE,category (static),,3.825247000600116,0.2811898740831951,0.26599648783931307,0.015193386243882057
lstm,permutation on validation WAPE,brand (static),,3.505031431977862,0.2799180192684292,0.26599648783931307,0.013921531429116119
lstm,permutation on validation WAPE,store_id (static),,0.3109568250964292,0.2672315681225262,0.26599648783931307,0.0012350802832131191
lstm,permutation on validation WAPE,stock_out_flag (past window),,0.05068718620004272,0.26619781078589194,0.26599648783931307,0.00020132294657887462
lstm,permutation on validation WAPE,list_price (past window),,0.04292361630964595,0.26616697489060004,0.26599648783931307,0.00017048705128697161
transformer,permutation on validation WAPE,demand_target (past window),,64.63724349653234,0.5990574394481022,0.27105392045747473,0.32800351899062746
transformer,permutation on validation WAPE,promo_flag (known future),,13.89194482884417,0.34154898712486736,0.27105392045747473,0.07049506666739264
transformer,permutation on validation WAPE,category (static),,8.976957456693453,0.3166077447906948,0.27105392045747473,0.04555382433322008
transformer,permutation on validation WAPE,subcategory (static),,4.146498285273871,0.2920954432001857,0.27105392045747473,0.021041522742710983
transformer,permutation on validation WAPE,sku_id (static),,3.6137704088375298,0.289392100534515,0.27105392045747473,0.018338180077040245
transformer,permutation on validation WAPE,channel (static),,2.089782270272803,0.2816585796523006,0.27105392045747473,0.010604659194825894
transformer,permutation on validation WAPE,brand (static),,2.081235815245876,0.2816152104247147,0.27105392045747473,0.010561289967239984
transformer,permutation on validation WAPE,discount_pct (past window),,0.18131660731021687,0.271974016705892,0.27105392045747473,0.0009200962484172681
transformer,permutation on validation WAPE,promo_flag (past window),,0.1794361992132173,0.27196447452185707,0.27105392045747473,0.0009105540643823407
transformer,permutation on validation WAPE,store_id (static),,0.13606276849763177,0.27174437482181074,0.27105392045747473,0.0006904543643360128
