model,store_id,sku_id,n,actual_units,mape_coverage,wape,mape,mae,rmse,smape,bias
catboost,STORE0001,SKU0001,14,1457.0,1.0,0.3067513268926523,0.5131737881383523,31.924048805899595,39.79938179735845,0.33600787120527575,0.1222079385045459
catboost,STORE0001,SKU0002,14,954.0,1.0,0.22292974498206775,1.3059825199774646,15.191069765206617,22.058505327881676,0.2720412326423264,0.05681230529944526
catboost,STORE0001,SKU0004,14,1418.0,1.0,0.26182803855938125,2.4857819104044503,26.51943990551447,35.36636539936987,0.3259249899955627,0.026166761863898394
catboost,STORE0001,SKU0006,14,1888.0,1.0,0.26884775761026947,0.299654986397837,36.25604045487063,47.87593356384816,0.2647518957502605,-0.016094878098268105
catboost,STORE0001,SKU0007,14,376.0,1.0,0.2913776943777891,0.39882682749281323,7.825572363289193,9.213395152135504,0.3098265236610494,0.069557163554265
catboost,STORE0001,SKU0008,14,422.0,1.0,0.18216847476401674,0.17549203462961352,5.491078310743933,7.051665606704457,0.1769772573549493,-0.04851890205189007
catboost,STORE0001,SKU0010,14,595.0,1.0,0.2700274543694049,2.8744160806722925,11.476166810699707,15.83893704013312,0.3248910804040274,-0.02513323159077094
catboost,STORE0001,SKU0011,14,335.0,1.0,0.29483400559354617,0.4389106615633002,7.054956562416998,8.655851271586911,0.31831628651540916,0.07618071467652852
catboost,STORE0001,SKU0012,14,998.0,1.0,0.2403184368811429,0.3224190058827739,17.131271429098614,23.757489272902653,0.24173239799173293,0.0900837811196754
catboost,STORE0001,SKU0014,14,909.0,1.0,0.2848944236494024,0.336731711248579,18.49778793552191,22.255472699597444,0.2914266448760849,-0.015521155642273715
catboost,STORE0001,SKU0015,14,160.0,1.0,0.2467690507433265,0.39132990434497966,2.8202177227808742,3.776005017557878,0.26502136407274307,0.15512740074788461
catboost,STORE0001,SKU0016,14,404.0,1.0,0.4035366434244654,0.7902545495668918,11.644914567391714,13.466753370004328,0.4627309811935439,0.10992576471776032
catboost,STORE0001,SKU0017,14,1767.0,1.0,0.31526894495724384,0.356021066821027,39.79144469567499,51.78211454659006,0.32035814310730715,-0.0754742597283445
catboost,STORE0001,SKU0018,14,1497.0,1.0,0.274874189387064,0.26072210257580314,29.391904393745342,35.84270963404669,0.27638922005358113,-0.11219745784051649
catboost,STORE0001,SKU0019,14,244.0,0.9285714285714286,0.5093514602529374,0.561077944745434,8.877268307265481,11.37379285844727,0.5153331809200936,0.26122040775355243
catboost,STORE0001,SKU0020,14,665.0,1.0,0.41526205491203194,0.935907031681831,19.724947608321518,23.539835570701655,0.4384470535704676,0.15653099861821573
catboost,STORE0001,SKU0021,14,843.0,0.9285714285714286,0.33089130710519965,0.30550640248084177,19.92438370640595,27.764587698339742,0.3729307310235213,0.159236170490745
catboost,STORE0001,SKU0023,14,1189.0,1.0,0.21850460745917094,0.32302906383711294,18.55728416206816,25.751534191639955,0.2378068354661825,0.024704420937759982
catboost,STORE0001,SKU0024,14,665.0,1.0,0.41314497237696146,1.663737451957067,19.624386187905667,24.648759905521068,0.4648529417400083,0.1517675127463435
catboost,STORE0001,SKU0026,14,1585.0,1.0,0.3596790842546005,0.5748245350102851,40.72081061025299,47.8531283622342,0.38829304482501537,0.07546567940242772
catboost,STORE0001,SKU0027,14,2752.0,1.0,0.24550862469057025,0.28232758740011216,48.25998108203209,61.474627803046545,0.2593804786659488,-0.1239129057810514
catboost,STORE0001,SKU0029,14,595.0,1.0,0.2105117273208053,0.2527661626879466,8.946748411134225,10.808669722600289,0.22116463435057757,0.04880948885126033
catboost,STORE0001,SKU0030,14,738.0,1.0,0.18969793596771534,0.20737879178955695,9.999791196012422,11.34193882332483,0.1848474382434642,0.12163600282219711
catboost,STORE0001,SKU0031,14,947.0,1.0,0.2732576690729524,0.7073899830448046,18.48392947229185,24.064272880732553,0.30557842099892824,0.0501891507622475
catboost,STORE0001,SKU0033,14,1816.0,1.0,0.1325783497780329,0.11450154532997417,17.197305942636266,26.37527197007639,0.12139065048752622,-0.06034669978886387
catboost,STORE0001,SKU0035,14,3090.0,1.0,0.35625663341855124,0.6590596597035611,78.63092837595165,104.43722743134995,0.3921622631453118,-0.10892184223671728
catboost,STORE0001,SKU0036,14,751.0,1.0,0.2545440024351438,0.2894977507498843,13.6544675591995,14.79964728728545,0.25752807156883833,0.08813163826743407
catboost,STORE0001,SKU0037,14,1531.0,1.0,0.32084993276596907,0.502454849080953,35.08723193319276,43.28158460670972,0.34426134893789045,0.04319389502534466
catboost,STORE0001,SKU0038,14,1504.0,1.0,0.22731192863082994,0.3427380717280255,24.419795761483446,29.985746363765283,0.25581191231397266,0.022709461905828423
catboost,STORE0001,SKU0039,14,303.0,1.0,0.2128359849690207,0.2027874374946222,4.606378817543805,6.025259339230206,0.21027487613321805,-0.09551087781096455
catboost,STORE0001,SKU0040,14,430.0,1.0,0.2805098869722386,0.37051037377463253,8.61566081414733,10.30702726585673,0.28159972469973454,0.19162295266032608
catboost,STORE0001,SKU0041,14,1714.0,1.0,0.2738887820157239,0.4355680346855368,33.531812312496484,41.35131404652098,0.3150025606736758,0.03723077460086005
catboost,STORE0001,SKU0042,14,244.0,1.0,0.29235683526125916,0.3804194586398789,5.0953619859819455,6.061467682052836,0.2996213894024267,0.09597324664700205
catboost,STORE0001,SKU0043,14,718.0,1.0,0.3863754099992586,0.46902881073107616,19.815538884247694,29.58230639301929,0.31570102857052085,0.2866498738560934
catboost,STORE0001,SKU0045,14,1258.0,1.0,0.24618858075316383,0.32203567029004027,22.121802470534295,29.23879000865944,0.2532456918939001,0.09994647121117702
catboost,STORE0001,SKU0046,14,1677.0,1.0,0.23468308309409236,0.34760036916980047,28.111680739199493,32.52168301897526,0.25467394662649406,0.048825925205576624
catboost,STORE0001,SKU0047,14,1257.0,1.0,0.2380924479021444,0.23223098473004608,21.37730050092825,26.68931311998191,0.23631205743200476,-0.07479490460657738
catboost,STORE0001,SKU0048,14,1153.0,1.0,0.30220691011668543,1.1492226442297924,24.888897668895595,33.21685033561908,0.32519321155196396,0.14260974979719956
catboost,STORE0001,SKU0049,14,707.0,1.0,0.30850577179364547,0.7928772717395564,15.579541475579095,20.383211473809236,0.36159628585211745,0.03519818680248373
catboost,STORE0001,SKU0050,14,267.0,1.0,0.20575638056530812,0.21753555074284744,3.9240681150669476,4.637195102361547,0.20737478231214393,-0.01723364616581297
catboost,STORE0001,SKU0051,14,924.0,1.0,0.33995561126600005,0.9230138483928597,22.437070343556,26.68576955507458,0.37556655268216216,0.12800291463607932
catboost,STORE0001,SKU0053,14,476.0,1.0,0.24993690566209642,0.2395448280568818,8.497854792511278,10.957356545455974,0.24139262635581687,-0.04833967999508197
catboost,STORE0001,SKU0054,14,1489.0,1.0,0.24272917545963596,0.2604576869325849,25.815981589956998,31.72855626455231,0.23420654900708074,0.028008585892556958
catboost,STORE0001,SKU0055,14,207.0,0.9285714285714286,0.3238641020617412,0.28150624680895026,4.788562080484317,5.947157753030474,0.3853341376707574,0.04345248431586253
catboost,STORE0001,SKU0056,14,420.0,1.0,0.15411934069160282,0.1754710802265913,4.623580220748084,6.23832076951194,0.1634332000986521,-0.0005741829447354585
catboost,STORE0001,SKU0058,14,1284.0,1.0,0.40015403188203397,1.281588578395264,36.69984120975226,44.63013039187702,0.4880264013600685,0.09117256314977927
catboost,STORE0001,SKU0059,14,390.0,1.0,0.3351230542149866,0.5263304389794295,9.335570795988913,10.697132072555725,0.3715186254217338,0.060431658777829474
catboost,STORE0001,SKU0060,14,927.0,1.0,0.2507263053658459,0.2724567134386818,16.60166321958137,20.00609407997513,0.2616774433533937,-0.11045396034592168
catboost,STORE0001,SKU0061,14,1251.0,1.0,0.32293491277535,0.4683711660986278,28.85654113442592,34.951266243914816,0.3332574090274914,0.07200884070848923
catboost,STORE0001,SKU0062,14,308.0,1.0,0.18720298694186402,0.17743312285226456,4.118465712721009,4.903404898172465,0.19507535605357126,-0.13570285021482328
catboost,STORE0001,SKU0063,14,904.0,1.0,0.32827234320356513,0.6432196397715969,21.19701416114449,31.015043550281298,0.3497274331008137,0.07241337653568303
catboost,STORE0001,SKU0065,14,1009.0,1.0,0.3455139620132188,0.7779098709974014,24.901684833666987,37.383459681514395,0.36160245575621214,0.09667874580502044
catboost,STORE0001,SKU0066,14,429.0,1.0,0.36213215877305893,0.8166054594076797,11.096764008117306,13.265233071878761,0.40892295213273433,0.08655076730399258
catboost,STORE0001,SKU0067,14,615.0,1.0,0.24123373646944224,0.2631223945647469,10.59705342347907,12.72122242901848,0.2430129647542179,-0.007013606065866086
catboost,STORE0001,SKU0068,14,625.0,1.0,0.2531543129097006,0.5738317918696724,11.301531826325919,15.38897550788219,0.30262756407141556,0.14574012667897523
catboost,STORE0001,SKU0069,14,1641.0,1.0,0.22995618412926253,2.177990926195238,26.954149868294273,39.52913993986303,0.28678539631663647,-0.05998918451354452
catboost,STORE0001,SKU0070,14,1701.0,1.0,0.2594082716769331,0.8471997677132707,31.51810500874737,42.13578843102797,0.3027077500879802,-0.08307747302987947
catboost,STORE0001,SKU0072,14,490.0,1.0,0.31859738099745116,0.4423523992962814,11.150908334910792,13.91854674764738,0.3198351758672863,0.1825006507659718
catboost,STORE0001,SKU0073,14,163.0,1.0,0.27021457739478383,0.29659688149627567,3.146069722524983,3.6554806259667565,0.2773305175063265,-0.03749459888158458
catboost,STORE0001,SKU0074,14,1048.0,1.0,0.3193876630175697,0.45998759289548763,23.90844791731522,30.744781015203877,0.3172980140558686,0.12211689565610066
catboost,STORE0001,SKU0076,14,455.0,1.0,0.20533743365858703,0.20315198815950325,6.673466593904079,7.841195474063961,0.20632475467659436,-0.07279363438535608
catboost,STORE0001,SKU0077,14,871.0,1.0,0.29832595324231725,0.7277901132242299,18.560136091004164,28.30059887822004,0.32929109621784713,0.15678690523732325
catboost,STORE0001,SKU0078,14,466.0,1.0,0.33283225576085346,1.0095014946585004,11.07855937032555,13.21886350653234,0.4029202425031824,-0.013336270006819117
catboost,STORE0001,SKU0080,14,1224.0,1.0,0.20515333795502658,0.20123555506575408,17.936263261210893,22.396677548958372,0.19281435596565846,0.021976014969489536
catboost,STORE0001,SKU0081,14,1013.0,1.0,0.3384633457397979,1.161115963586791,24.490240659601092,30.54547344211012,0.3729233277083525,0.014397668033693117
catboost,STORE0001,SKU0082,14,892.0,1.0,0.2976770071266702,0.3869535472858506,18.966277882642128,22.140855323928786,0.3006990356664124,0.1287855846286162
catboost,STORE0001,SKU0084,14,388.0,1.0,0.29259964552093815,0.5493922967403719,8.109190175866,10.013034174654589,0.3280417577757437,-0.0005070514672076924
catboost,STORE0001,SKU0086,14,177.0,1.0,0.26777423702918607,0.29970741061266976,3.385431425297567,4.915625862399108,0.2614694757486427,-0.060604769535585995
catboost,STORE0001,SKU0087,14,438.0,1.0,0.28049926916489343,0.6550609892737265,8.775619992444522,11.432630049556364,0.3198681457648108,0.08503539045020317
catboost,STORE0001,SKU0090,14,320.0,1.0,0.3269511504193734,0.7675607386039714,7.4731691524428205,9.597978707728815,0.3980194945590113,-0.0654926660341661
catboost,STORE0001,SKU0092,14,1319.0,0.9285714285714286,0.43748114657541165,0.6922836803650687,41.21697373806914,50.49248815209936,0.5069617711469159,0.07450674499908173
catboost,STORE0001,SKU0093,14,1088.0,1.0,0.2282033672682222,0.3039525809576114,17.7346616848447,22.229880865015897,0.24290637746552626,0.043198815373398466
catboost,STORE0001,SKU0094,14,1084.0,1.0,0.22434100084515976,0.19940955858084605,17.370403208296658,24.34625026020978,0.2233430600818521,-0.1892113588108278
catboost,STORE0001,SKU0095,14,501.0,1.0,0.20663959671973112,0.2201849039415593,7.3947455683275205,8.808600065871035,0.20977580904851817,-0.057730484667832926
catboost,STORE0001,SKU0096,14,1542.0,1.0,0.25577599261406375,0.26413609529054016,28.171898615063306,31.082216687323285,0.26394543244963703,-0.08334320908816673
catboost,STORE0001,SKU0097,14,1117.0,1.0,0.2124455571837348,0.21441942323709948,16.950120526730842,20.438014524158255,0.2118578322807745,-0.05527065689980396
catboost,STORE0001,SKU0098,14,731.0,1.0,0.20148502879364016,0.20394370132797376,10.520396860582212,13.272318201123642,0.20551036207427203,-0.10332817379707293
catboost,STORE0001,SKU0099,14,1706.0,0.9285714285714286,0.30568021950611873,0.22414610975776547,37.249318176959896,51.29099150153434,0.36781916457133645,-0.08594166566967251
catboost,STORE0001,SKU0100,14,1251.0,1.0,0.19558685010117652,0.2325010781281991,17.477082105469414,22.473316264186824,0.19761653512417712,0.03522992384485094
catboost,STORE0001,SKU0101,14,287.0,1.0,0.34484881543121887,0.5584092937824222,7.069400716339986,8.429331059026685,0.380236751506639,0.024313995842966018
catboost,STORE0002,SKU0001,14,1087.0,1.0,0.24219327599106602,0.3325665439478032,18.80457792873491,25.81794332603684,0.27015373526442593,-0.020832826740588107
catboost,STORE0002,SKU0002,14,862.0,1.0,0.2192537399727975,0.2197124205337339,13.499765989753675,15.47842323509406,0.22775918816685237,-0.09119659317881683
catboost,STORE0002,SKU0003,14,250.0,1.0,0.2280331476405182,0.2602907716564541,4.072020493580682,5.039472156209514,0.2413133338221238,-0.060787891514817
